Torch: 2.12.0+cu130
Using GPU:  NVIDIA L40S
[Bellman] signal=bellman lambda=2.0 k=4 err_scale=3.0 w_max=0.95
/u/ibrahim.eisawy/Neural-Guided-Search/venv/lib/python3.10/site-packages/pymimir_rgnn/model.py:162: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/Indexing.cu:1541.)
  exps_max.index_reduce_(0, output_indices, output_messages, reduce="amax", include_self=False)
  [sim 500] root visits=500, unique states=920, generated=919, iqn_calls=1569
  [sim 1000] root visits=1000, unique states=1308, generated=1307, iqn_calls=2259
  [sim 1500] root visits=1500, unique states=1712, generated=1711, iqn_calls=3000
  [sim 2000] root visits=2000, unique states=2199, generated=2198, iqn_calls=3944
  [sim 2500] root visits=2500, unique states=2642, generated=2641, iqn_calls=4761
  [sim 3000] root visits=3000, unique states=2993, generated=2992, iqn_calls=5387
  [sim 3500] root visits=3500, unique states=3334, generated=3333, iqn_calls=5951
  [sim 4000] root visits=4000, unique states=3690, generated=3689, iqn_calls=6596
  [sim 4500] root visits=4500, unique states=4011, generated=4010, iqn_calls=7154
  [sim 5000] root visits=5000, unique states=4374, generated=4373, iqn_calls=7736
  [sim 5500] root visits=5500, unique states=4745, generated=4744, iqn_calls=8353
  [sim 6000] root visits=6000, unique states=5109, generated=5108, iqn_calls=8986
  [sim 6500] root visits=6500, unique states=5443, generated=5442, iqn_calls=9590
  [sim 7000] root visits=7000, unique states=5811, generated=5810, iqn_calls=10210
  [sim 7500] root visits=7500, unique states=6204, generated=6203, iqn_calls=10880
  [sim 8000] root visits=8000, unique states=6634, generated=6633, iqn_calls=11590
  [sim 8500] root visits=8500, unique states=7040, generated=7039, iqn_calls=12278
  [sim 9000] root visits=9000, unique states=7409, generated=7408, iqn_calls=12929
  [sim 9500] root visits=9500, unique states=7765, generated=7764, iqn_calls=13548
  [sim 10000] root visits=10000, unique states=8149, generated=8148, iqn_calls=14177
  [sim 10500] root visits=10500, unique states=8497, generated=8496, iqn_calls=14802
  [sim 11000] root visits=11000, unique states=8851, generated=8850, iqn_calls=15400
  [sim 11500] root visits=11500, unique states=9205, generated=9204, iqn_calls=15996
  [sim 12000] root visits=12000, unique states=9533, generated=9532, iqn_calls=16583
  [sim 12500] root visits=12500, unique states=9864, generated=9863, iqn_calls=17174
  [sim 13000] root visits=13000, unique states=10151, generated=10150, iqn_calls=17768
  [sim 13500] root visits=13500, unique states=10473, generated=10472, iqn_calls=18306
  [sim 14000] root visits=14000, unique states=10771, generated=10770, iqn_calls=18829
  [sim 14500] root visits=14500, unique states=11098, generated=11097, iqn_calls=19419
  [sim 15000] root visits=15000, unique states=11447, generated=11446, iqn_calls=20047
  [sim 15500] root visits=15500, unique states=11770, generated=11769, iqn_calls=20586
  [sim 16000] root visits=16000, unique states=12078, generated=12077, iqn_calls=21156
  [sim 16500] root visits=16500, unique states=12415, generated=12414, iqn_calls=21773
  [sim 17000] root visits=17000, unique states=12757, generated=12756, iqn_calls=22369
  [sim 17500] root visits=17500, unique states=13099, generated=13098, iqn_calls=22968
  [sim 18000] root visits=18000, unique states=13437, generated=13436, iqn_calls=23531
  [sim 18500] root visits=18500, unique states=13761, generated=13760, iqn_calls=24082
  [sim 19000] root visits=19000, unique states=14071, generated=14070, iqn_calls=24682
  [sim 19500] root visits=19500, unique states=14527, generated=14526, iqn_calls=25424
  [sim 20000] root visits=20000, unique states=15432, generated=15431, iqn_calls=26902
  [sim 20500] root visits=20500, unique states=15985, generated=15984, iqn_calls=27859
  [sim 21000] root visits=21000, unique states=16229, generated=16228, iqn_calls=28318
  [sim 21500] root visits=21500, unique states=16569, generated=16568, iqn_calls=28936
  [sim 22000] root visits=22000, unique states=16883, generated=16882, iqn_calls=29510
  [sim 22500] root visits=22500, unique states=17112, generated=17111, iqn_calls=29983
[Final] Expanded: 17306, Generated: 17306
[Cost] IQN forward calls (Bellman signal): 30338
[Widen] nodes widened: 6964, mean w: 0.8416
[search done] simulations=22944, unique states generated=17306
Failed to find a solution!
