Torch: 2.12.0+cu130
Using GPU:  NVIDIA L40S
[Bellman] signal=bellman lambda=4.0 k=4 err_scale=3.0 w_max=0.95
/u/ibrahim.eisawy/Neural-Guided-Search/venv/lib/python3.10/site-packages/pymimir_rgnn/model.py:162: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/Indexing.cu:1541.)
  exps_max.index_reduce_(0, output_indices, output_messages, reduce="amax", include_self=False)
  [sim 500] root visits=500, unique states=868, generated=867, iqn_calls=1201
  [sim 1000] root visits=1000, unique states=1543, generated=1542, iqn_calls=2177
  [sim 1500] root visits=1500, unique states=2260, generated=2259, iqn_calls=3180
  [sim 2000] root visits=2000, unique states=2920, generated=2919, iqn_calls=4099
  [sim 2500] root visits=2500, unique states=3487, generated=3486, iqn_calls=4837
  [sim 3000] root visits=3000, unique states=3908, generated=3907, iqn_calls=5448
  [sim 3500] root visits=3500, unique states=4385, generated=4384, iqn_calls=6241
  [sim 4000] root visits=4000, unique states=4655, generated=4654, iqn_calls=6636
  [sim 4500] root visits=4500, unique states=5088, generated=5087, iqn_calls=7271
  [sim 5000] root visits=5000, unique states=5401, generated=5400, iqn_calls=7755
  [sim 5500] root visits=5500, unique states=5669, generated=5668, iqn_calls=8162
  [sim 6000] root visits=6000, unique states=5934, generated=5933, iqn_calls=8581
  [sim 6500] root visits=6500, unique states=6233, generated=6232, iqn_calls=9030
  [sim 7000] root visits=7000, unique states=6531, generated=6530, iqn_calls=9480
  [sim 7500] root visits=7500, unique states=7001, generated=7000, iqn_calls=10214
  [sim 8000] root visits=8000, unique states=7508, generated=7507, iqn_calls=11082
  [sim 8500] root visits=8500, unique states=8224, generated=8223, iqn_calls=12128
  [sim 9000] root visits=9000, unique states=8883, generated=8882, iqn_calls=13124
  [sim 9500] root visits=9500, unique states=9533, generated=9532, iqn_calls=14060
  [sim 10000] root visits=10000, unique states=10304, generated=10303, iqn_calls=15204
  [sim 10500] root visits=10500, unique states=11311, generated=11310, iqn_calls=16699
  [sim 11000] root visits=11000, unique states=11858, generated=11857, iqn_calls=17539
  [sim 11500] root visits=11500, unique states=12447, generated=12446, iqn_calls=18428
  [sim 12000] root visits=12000, unique states=13118, generated=13117, iqn_calls=19464
  [sim 12500] root visits=12500, unique states=14072, generated=14071, iqn_calls=20920
  [sim 13000] root visits=13000, unique states=14982, generated=14981, iqn_calls=22198
  [sim 13500] root visits=13500, unique states=15474, generated=15473, iqn_calls=22939
  [sim 14000] root visits=14000, unique states=16062, generated=16061, iqn_calls=23759
  [sim 14500] root visits=14500, unique states=16678, generated=16677, iqn_calls=24667
  [sim 15000] root visits=15000, unique states=17153, generated=17152, iqn_calls=25341
  [sim 15500] root visits=15500, unique states=17444, generated=17443, iqn_calls=25799
  [sim 16000] root visits=16000, unique states=18131, generated=18130, iqn_calls=26853
  [sim 16500] root visits=16500, unique states=18806, generated=18805, iqn_calls=27951
  [sim 17000] root visits=17000, unique states=19188, generated=19187, iqn_calls=28514
  [sim 17500] root visits=17500, unique states=19511, generated=19510, iqn_calls=29015
  [sim 18000] root visits=18000, unique states=19843, generated=19842, iqn_calls=29571
  [sim 18500] root visits=18500, unique states=20235, generated=20234, iqn_calls=30218
  [sim 19000] root visits=19000, unique states=20651, generated=20650, iqn_calls=30864
  [sim 19500] root visits=19500, unique states=20978, generated=20977, iqn_calls=31347
  [sim 20000] root visits=20000, unique states=21401, generated=21400, iqn_calls=31990
  [sim 20500] root visits=20500, unique states=22031, generated=22030, iqn_calls=32897
  [sim 21000] root visits=21000, unique states=22545, generated=22544, iqn_calls=33691
  [sim 21500] root visits=21500, unique states=23111, generated=23110, iqn_calls=34516
  [sim 22000] root visits=22000, unique states=24027, generated=24026, iqn_calls=35948
  [sim 22500] root visits=22500, unique states=24718, generated=24717, iqn_calls=37178
  [sim 23000] root visits=23000, unique states=25567, generated=25566, iqn_calls=38545
  [sim 23500] root visits=23500, unique states=26516, generated=26515, iqn_calls=39997
[Final] Expanded: 26965, Generated: 26965
[Cost] IQN forward calls (Bellman signal): 40714
[Widen] nodes widened: 9367, mean w: 0.9301
[search done] simulations=23911, unique states generated=26965
Failed to find a solution!
