Torch: 2.12.0+cu130
Using GPU:  NVIDIA L40S
[config] decoupled pUCT: c1=0.5 c2=1.5
/u/ibrahim.eisawy/Neural-Guided-Search/venv/lib/python3.10/site-packages/pymimir_rgnn/model.py:162: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/Indexing.cu:1541.)
  exps_max.index_reduce_(0, output_indices, output_messages, reduce="amax", include_self=False)
  [sim 500] root visits=500, unique states=1096, generated=1095
  [sim 1000] root visits=1000, unique states=2184, generated=2183
  [sim 1500] root visits=1500, unique states=3251, generated=3250
  [sim 2000] root visits=2000, unique states=4331, generated=4330
  [sim 2500] root visits=2500, unique states=5399, generated=5398
  [sim 3000] root visits=3000, unique states=6461, generated=6460
  [sim 3500] root visits=3500, unique states=7458, generated=7457
  [sim 4000] root visits=4000, unique states=8566, generated=8565
  [sim 4500] root visits=4500, unique states=9692, generated=9691
  [sim 5000] root visits=5000, unique states=10707, generated=10706
  [sim 5500] root visits=5500, unique states=11726, generated=11725
  [sim 6000] root visits=6000, unique states=12758, generated=12757
  [sim 6500] root visits=6500, unique states=13787, generated=13786
  [sim 7000] root visits=7000, unique states=14797, generated=14796
  [sim 7500] root visits=7500, unique states=15825, generated=15824
  [sim 8000] root visits=8000, unique states=16828, generated=16827
  [sim 8500] root visits=8500, unique states=17809, generated=17808
  [sim 9000] root visits=9000, unique states=18776, generated=18775
  [sim 9500] root visits=9500, unique states=19739, generated=19738
  [sim 10000] root visits=10000, unique states=20768, generated=20767
  [sim 10500] root visits=10500, unique states=21746, generated=21745
  [sim 11000] root visits=11000, unique states=22765, generated=22764
  [sim 11500] root visits=11500, unique states=23811, generated=23810
  [sim 12000] root visits=12000, unique states=24791, generated=24790
  [sim 12500] root visits=12500, unique states=25736, generated=25735
  [sim 13000] root visits=13000, unique states=26754, generated=26753
  [sim 13500] root visits=13500, unique states=27746, generated=27745
  [sim 14000] root visits=14000, unique states=28770, generated=28769
  [sim 14500] root visits=14500, unique states=29800, generated=29799
  [sim 15000] root visits=15000, unique states=30790, generated=30789
  [sim 15500] root visits=15500, unique states=31738, generated=31737
  [sim 16000] root visits=16000, unique states=32739, generated=32738
  [sim 16500] root visits=16500, unique states=33716, generated=33715
  [sim 17000] root visits=17000, unique states=34701, generated=34700
  [sim 17500] root visits=17500, unique states=35689, generated=35688
  [sim 18000] root visits=18000, unique states=36664, generated=36663
  [sim 18500] root visits=18500, unique states=37659, generated=37658
  [sim 19000] root visits=19000, unique states=38670, generated=38669
  [sim 19500] root visits=19500, unique states=39655, generated=39654
  [sim 20000] root visits=20000, unique states=40659, generated=40658
  [sim 20500] root visits=20500, unique states=41692, generated=41691
  [sim 21000] root visits=21000, unique states=42684, generated=42683
  [sim 21500] root visits=21500, unique states=43667, generated=43666
  [sim 22000] root visits=22000, unique states=44674, generated=44673
  [sim 22500] root visits=22500, unique states=45634, generated=45633
  [sim 23000] root visits=23000, unique states=46548, generated=46547
  [sim 23500] root visits=23500, unique states=47536, generated=47535
  [sim 24000] root visits=24000, unique states=48490, generated=48489
  [sim 24500] root visits=24500, unique states=49459, generated=49458
  [sim 25000] root visits=25000, unique states=50474, generated=50473
  [sim 25500] root visits=25500, unique states=51415, generated=51414
  [sim 26000] root visits=26000, unique states=52398, generated=52397
  [sim 26500] root visits=26500, unique states=53382, generated=53381
  [sim 27000] root visits=27000, unique states=54344, generated=54343
  [sim 27500] root visits=27500, unique states=55364, generated=55363
  [sim 28000] root visits=28000, unique states=56362, generated=56361
  [sim 28500] root visits=28500, unique states=57312, generated=57311
  [sim 29000] root visits=29000, unique states=58303, generated=58302
  [sim 29500] root visits=29500, unique states=59237, generated=59236
  [sim 30000] root visits=30000, unique states=60179, generated=60178
  [sim 30500] root visits=30500, unique states=61200, generated=61199
  [sim 31000] root visits=31000, unique states=62207, generated=62206
  [sim 31500] root visits=31500, unique states=63222, generated=63221
[DEPTH] expanded_internal_nodes=26960 mean_depth=14.50 max_depth=26 mean_fanout=1.67
[Final] Expanded: 63467, Generated: 63467
[search done] simulations=31628, unique states generated=63467
Failed to find a solution!
