Torch: 2.12.0+cu130
Using GPU:  NVIDIA L40S
[config] decoupled pUCT: c1=0.5 c2=1.5
/u/ibrahim.eisawy/Neural-Guided-Search/venv/lib/python3.10/site-packages/pymimir_rgnn/model.py:162: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/Indexing.cu:1541.)
  exps_max.index_reduce_(0, output_indices, output_messages, reduce="amax", include_self=False)
  [sim 500] root visits=500, unique states=1176, generated=1175
  [sim 1000] root visits=1000, unique states=2334, generated=2333
  [sim 1500] root visits=1500, unique states=3452, generated=3451
  [sim 2000] root visits=2000, unique states=4500, generated=4499
  [sim 2500] root visits=2500, unique states=5564, generated=5563
  [sim 3000] root visits=3000, unique states=6623, generated=6622
  [sim 3500] root visits=3500, unique states=7687, generated=7686
  [sim 4000] root visits=4000, unique states=8675, generated=8674
  [sim 4500] root visits=4500, unique states=9740, generated=9739
  [sim 5000] root visits=5000, unique states=10752, generated=10751
  [sim 5500] root visits=5500, unique states=11792, generated=11791
  [sim 6000] root visits=6000, unique states=12792, generated=12791
  [sim 6500] root visits=6500, unique states=13799, generated=13798
  [sim 7000] root visits=7000, unique states=14787, generated=14786
  [sim 7500] root visits=7500, unique states=15788, generated=15787
  [sim 8000] root visits=8000, unique states=16780, generated=16779
  [sim 8500] root visits=8500, unique states=17773, generated=17772
  [sim 9000] root visits=9000, unique states=18734, generated=18733
  [sim 9500] root visits=9500, unique states=19791, generated=19790
  [sim 10000] root visits=10000, unique states=20760, generated=20759
  [sim 10500] root visits=10500, unique states=21795, generated=21794
  [sim 11000] root visits=11000, unique states=22807, generated=22806
  [sim 11500] root visits=11500, unique states=23792, generated=23791
  [sim 12000] root visits=12000, unique states=24686, generated=24685
  [sim 12500] root visits=12500, unique states=25654, generated=25653
  [sim 13000] root visits=13000, unique states=26590, generated=26589
  [sim 13500] root visits=13500, unique states=27557, generated=27556
  [sim 14000] root visits=14000, unique states=28594, generated=28593
  [sim 14500] root visits=14500, unique states=29598, generated=29597
  [sim 15000] root visits=15000, unique states=30574, generated=30573
  [sim 15500] root visits=15500, unique states=31548, generated=31547
  [sim 16000] root visits=16000, unique states=32457, generated=32456
  [sim 16500] root visits=16500, unique states=33389, generated=33388
  [sim 17000] root visits=17000, unique states=34295, generated=34294
  [sim 17500] root visits=17500, unique states=35264, generated=35263
  [sim 18000] root visits=18000, unique states=36256, generated=36255
  [sim 18500] root visits=18500, unique states=37241, generated=37240
  [sim 19000] root visits=19000, unique states=38274, generated=38273
  [sim 19500] root visits=19500, unique states=39242, generated=39241
  [sim 20000] root visits=20000, unique states=40237, generated=40236
  [sim 20500] root visits=20500, unique states=41219, generated=41218
  [sim 21000] root visits=21000, unique states=42165, generated=42164
  [sim 21500] root visits=21500, unique states=43164, generated=43163
  [sim 22000] root visits=22000, unique states=44068, generated=44067
[DEPTH] expanded_internal_nodes=18825 mean_depth=14.60 max_depth=25 mean_fanout=1.51
[Final] Expanded: 44156, Generated: 44156
[search done] simulations=22055, unique states generated=44156
Failed to find a solution!
