Torch: 2.12.0+cu130
Using GPU:  NVIDIA L40S
[oracle] IQN loaded: models/grid_iqn.pth (metric=w1, mix_alpha=0.0)
/u/ibrahim.eisawy/Neural-Guided-Search/venv/lib/python3.10/site-packages/pymimir_rgnn/model.py:162: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/Indexing.cu:1541.)
  exps_max.index_reduce_(0, output_indices, output_messages, reduce="amax", include_self=False)
  [sim 500] root visits=500, unique states=1431, generated=1430
  [sim 1000] root visits=1000, unique states=2808, generated=2807
  [sim 1500] root visits=1500, unique states=4189, generated=4188
  [sim 2000] root visits=2000, unique states=5555, generated=5554
  [sim 2500] root visits=2500, unique states=6925, generated=6924
  [sim 3000] root visits=3000, unique states=8311, generated=8310
  [sim 3500] root visits=3500, unique states=9685, generated=9684
  [sim 4000] root visits=4000, unique states=11036, generated=11035
  [sim 4500] root visits=4500, unique states=12423, generated=12422
  [sim 5000] root visits=5000, unique states=13782, generated=13781
  [sim 5500] root visits=5500, unique states=15174, generated=15173
  [sim 6000] root visits=6000, unique states=16541, generated=16540
  [sim 6500] root visits=6500, unique states=17961, generated=17960
  [sim 7000] root visits=7000, unique states=19344, generated=19343
  [sim 7500] root visits=7500, unique states=20741, generated=20740
  [sim 8000] root visits=8000, unique states=22119, generated=22118
  [sim 8500] root visits=8500, unique states=23528, generated=23527
  [sim 9000] root visits=9000, unique states=24926, generated=24925
  [sim 9500] root visits=9500, unique states=26282, generated=26281
  [sim 10000] root visits=10000, unique states=27707, generated=27706
  [sim 10500] root visits=10500, unique states=29102, generated=29101
  [sim 11000] root visits=11000, unique states=30537, generated=30536
  [sim 11500] root visits=11500, unique states=31913, generated=31912
  [sim 12000] root visits=12000, unique states=33357, generated=33356
  [sim 12500] root visits=12500, unique states=34711, generated=34710
  [sim 13000] root visits=13000, unique states=36082, generated=36081
  [sim 13500] root visits=13500, unique states=37395, generated=37394
  [sim 14000] root visits=14000, unique states=38774, generated=38773
  [sim 14500] root visits=14500, unique states=40163, generated=40162
  [sim 15000] root visits=15000, unique states=41551, generated=41550
  [sim 15500] root visits=15500, unique states=42894, generated=42893
  [sim 16000] root visits=16000, unique states=44261, generated=44260
  [sim 16500] root visits=16500, unique states=45584, generated=45583
  [sim 17000] root visits=17000, unique states=46966, generated=46965
  [sim 17500] root visits=17500, unique states=48278, generated=48277
  [sim 18000] root visits=18000, unique states=49660, generated=49659
  [sim 18500] root visits=18500, unique states=51019, generated=51018
  [sim 19000] root visits=19000, unique states=52383, generated=52382
  [sim 19500] root visits=19500, unique states=53734, generated=53733
  [sim 20000] root visits=20000, unique states=55086, generated=55085
  [sim 20500] root visits=20500, unique states=56419, generated=56418
  [sim 21000] root visits=21000, unique states=57738, generated=57737
  [sim 21500] root visits=21500, unique states=59094, generated=59093
  [sim 22000] root visits=22000, unique states=60445, generated=60444
  [sim 22500] root visits=22500, unique states=61817, generated=61816
  [sim 23000] root visits=23000, unique states=63028, generated=63027
  [sim 23500] root visits=23500, unique states=64277, generated=64276
  [sim 24000] root visits=24000, unique states=65563, generated=65562
  [sim 24500] root visits=24500, unique states=66715, generated=66714
  [sim 25000] root visits=25000, unique states=67983, generated=67982
  [sim 25500] root visits=25500, unique states=69209, generated=69208
