Torch: 2.12.0+cu130
Using GPU:  NVIDIA L40S
[oracle] IQN uncertainty oracle loaded: models/grid_iqn.pth (width_beta=0.0, width_gamma=1.0)
/u/ibrahim.eisawy/Neural-Guided-Search/venv/lib/python3.10/site-packages/pymimir_rgnn/model.py:162: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/Indexing.cu:1541.)
  exps_max.index_reduce_(0, output_indices, output_messages, reduce="amax", include_self=False)
  [sim 500] root visits=500, unique states=1316, generated=1315
  [sim 1000] root visits=1000, unique states=2503, generated=2502
  [sim 1500] root visits=1500, unique states=2618, generated=2617
  [sim 2000] root visits=2000, unique states=2618, generated=2617
  [sim 2500] root visits=2500, unique states=2622, generated=2621
  [sim 3000] root visits=3000, unique states=2622, generated=2621
  [sim 3500] root visits=3500, unique states=2622, generated=2621
  [sim 4000] root visits=4000, unique states=2622, generated=2621
  [sim 4500] root visits=4500, unique states=2622, generated=2621
  [sim 5000] root visits=5000, unique states=2622, generated=2621
  [sim 5500] root visits=5500, unique states=2622, generated=2621
  [sim 6000] root visits=6000, unique states=2622, generated=2621
  [sim 6500] root visits=6500, unique states=2622, generated=2621
  [sim 7000] root visits=7000, unique states=2622, generated=2621
  [sim 7500] root visits=7500, unique states=2622, generated=2621
  [sim 8000] root visits=8000, unique states=2622, generated=2621
  [sim 8500] root visits=8500, unique states=2622, generated=2621
  [sim 9000] root visits=9000, unique states=2622, generated=2621
  [sim 9500] root visits=9500, unique states=2622, generated=2621
  [sim 10000] root visits=10000, unique states=2622, generated=2621
  [sim 10500] root visits=10500, unique states=2622, generated=2621
  [sim 11000] root visits=11000, unique states=2622, generated=2621
  [sim 11500] root visits=11500, unique states=2622, generated=2621
  [sim 12000] root visits=12000, unique states=2622, generated=2621
  [sim 12500] root visits=12500, unique states=2622, generated=2621
  [sim 13000] root visits=13000, unique states=2622, generated=2621
  [sim 13500] root visits=13500, unique states=2622, generated=2621
  [sim 14000] root visits=14000, unique states=2622, generated=2621
  [sim 14500] root visits=14500, unique states=2622, generated=2621
  [sim 15000] root visits=15000, unique states=2622, generated=2621
  [sim 15500] root visits=15500, unique states=2622, generated=2621
  [sim 16000] root visits=16000, unique states=2622, generated=2621
  [sim 16500] root visits=16500, unique states=2622, generated=2621
  [sim 17000] root visits=17000, unique states=2622, generated=2621
  [sim 17500] root visits=17500, unique states=2622, generated=2621
  [sim 18000] root visits=18000, unique states=2622, generated=2621
  [sim 18500] root visits=18500, unique states=2622, generated=2621
  [sim 19000] root visits=19000, unique states=2622, generated=2621
  [sim 19500] root visits=19500, unique states=2622, generated=2621
  [sim 20000] root visits=20000, unique states=2622, generated=2621
  [sim 20500] root visits=20500, unique states=2622, generated=2621
  [sim 21000] root visits=21000, unique states=2622, generated=2621
  [sim 21500] root visits=21500, unique states=2622, generated=2621
  [sim 22000] root visits=22000, unique states=2622, generated=2621
  [sim 22500] root visits=22500, unique states=2622, generated=2621
  [sim 23000] root visits=23000, unique states=2622, generated=2621
  [sim 23500] root visits=23500, unique states=2622, generated=2621
  [sim 24000] root visits=24000, unique states=2622, generated=2621
  [sim 24500] root visits=24500, unique states=2622, generated=2621
  [sim 25000] root visits=25000, unique states=2622, generated=2621
  [sim 25500] root visits=25500, unique states=2622, generated=2621
  [sim 26000] root visits=26000, unique states=2622, generated=2621
  [sim 26500] root visits=26500, unique states=2622, generated=2621
  [sim 27000] root visits=27000, unique states=2622, generated=2621
  [sim 27500] root visits=27500, unique states=2622, generated=2621
  [sim 28000] root visits=28000, unique states=2630, generated=2629
  [sim 28500] root visits=28500, unique states=2630, generated=2629
  [sim 29000] root visits=29000, unique states=2630, generated=2629
  [sim 29500] root visits=29500, unique states=2630, generated=2629
  [sim 30000] root visits=30000, unique states=2630, generated=2629
  [sim 30500] root visits=30500, unique states=2630, generated=2629
  [sim 31000] root visits=31000, unique states=2630, generated=2629
  [sim 31500] root visits=31500, unique states=2630, generated=2629
  [sim 32000] root visits=32000, unique states=2630, generated=2629
  [sim 32500] root visits=32500, unique states=2630, generated=2629
  [sim 33000] root visits=33000, unique states=2630, generated=2629
  [sim 33500] root visits=33500, unique states=2630, generated=2629
  [sim 34000] root visits=34000, unique states=2630, generated=2629
  [sim 34500] root visits=34500, unique states=2630, generated=2629
  [sim 35000] root visits=35000, unique states=2955, generated=2954
  [sim 35500] root visits=35500, unique states=2962, generated=2961
  [sim 36000] root visits=36000, unique states=2967, generated=2966
  [sim 36500] root visits=36500, unique states=2971, generated=2970
  [sim 37000] root visits=37000, unique states=2979, generated=2978
  [sim 37500] root visits=37500, unique states=2986, generated=2985
  [sim 38000] root visits=38000, unique states=2991, generated=2990
  [sim 38500] root visits=38500, unique states=3001, generated=3000
  [sim 39000] root visits=39000, unique states=3008, generated=3007
  [sim 39500] root visits=39500, unique states=3011, generated=3010
  [sim 40000] root visits=40000, unique states=3018, generated=3017
  [sim 40500] root visits=40500, unique states=3023, generated=3022
