Torch: 2.12.0+cu130
Using GPU:  NVIDIA L40S
[oracle] IQN uncertainty oracle loaded: models/grid_iqn.pth (width_beta=0.0, width_gamma=1.0)
/u/ibrahim.eisawy/Neural-Guided-Search/venv/lib/python3.10/site-packages/pymimir_rgnn/model.py:162: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/Indexing.cu:1541.)
  exps_max.index_reduce_(0, output_indices, output_messages, reduce="amax", include_self=False)
  [sim 500] root visits=500, unique states=1472, generated=1471
  [sim 1000] root visits=1000, unique states=2913, generated=2912
  [sim 1500] root visits=1500, unique states=4382, generated=4381
  [sim 2000] root visits=2000, unique states=5905, generated=5904
  [sim 2500] root visits=2500, unique states=7417, generated=7416
  [sim 3000] root visits=3000, unique states=8790, generated=8789
  [sim 3500] root visits=3500, unique states=9961, generated=9960
  [sim 4000] root visits=4000, unique states=11198, generated=11197
  [sim 4500] root visits=4500, unique states=12325, generated=12324
  [sim 5000] root visits=5000, unique states=13393, generated=13392
  [sim 5500] root visits=5500, unique states=14809, generated=14808
  [sim 6000] root visits=6000, unique states=16249, generated=16248
  [sim 6500] root visits=6500, unique states=17447, generated=17446
  [sim 7000] root visits=7000, unique states=18701, generated=18700
  [sim 7500] root visits=7500, unique states=19811, generated=19810
  [sim 8000] root visits=8000, unique states=20875, generated=20874
  [sim 8500] root visits=8500, unique states=21885, generated=21884
  [sim 9000] root visits=9000, unique states=22841, generated=22840
  [sim 9500] root visits=9500, unique states=24158, generated=24157
  [sim 10000] root visits=10000, unique states=25576, generated=25575
  [sim 10500] root visits=10500, unique states=26726, generated=26725
  [sim 11000] root visits=11000, unique states=27767, generated=27766
  [sim 11500] root visits=11500, unique states=28792, generated=28791
  [sim 12000] root visits=12000, unique states=29789, generated=29788
  [sim 12500] root visits=12500, unique states=30831, generated=30830
  [sim 13000] root visits=13000, unique states=31736, generated=31735
  [sim 13500] root visits=13500, unique states=32795, generated=32794
  [sim 14000] root visits=14000, unique states=33692, generated=33691
[Final] Expanded: 33781, Generated: 33781
[search done] simulations=14058, unique states generated=33781
Failed to find a solution!
