Torch: 2.12.0+cu130
Using GPU:  NVIDIA L40S
[oracle] IQN uncertainty oracle loaded: models/logistics_iqn.pth (width_beta=0.0, width_gamma=0.0, width_tau=0.0, width_lambda=0.0)
/u/ibrahim.eisawy/Neural-Guided-Search/venv/lib/python3.10/site-packages/pymimir_rgnn/model.py:162: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/Indexing.cu:1541.)
  exps_max.index_reduce_(0, output_indices, output_messages, reduce="amax", include_self=False)
  [sim 500] root visits=500, unique states=4186, generated=4185
  [sim 1000] root visits=1000, unique states=8144, generated=8143
  [sim 1500] root visits=1500, unique states=11703, generated=11702
  [sim 2000] root visits=2000, unique states=15584, generated=15583
  [sim 2500] root visits=2500, unique states=18792, generated=18791
  [sim 3000] root visits=3000, unique states=21775, generated=21774
  [sim 3500] root visits=3500, unique states=24809, generated=24808
  [sim 4000] root visits=4000, unique states=27475, generated=27474
  [sim 4500] root visits=4500, unique states=30227, generated=30226
  [sim 5000] root visits=5000, unique states=33188, generated=33187
  [sim 5500] root visits=5500, unique states=36643, generated=36642
  [sim 6000] root visits=6000, unique states=39789, generated=39788
  [sim 6500] root visits=6500, unique states=42795, generated=42794
  [sim 7000] root visits=7000, unique states=45879, generated=45878
  [sim 7500] root visits=7500, unique states=48991, generated=48990
  [sim 8000] root visits=8000, unique states=51972, generated=51971
  [sim 8500] root visits=8500, unique states=54870, generated=54869
  [sim 9000] root visits=9000, unique states=57757, generated=57756
  [sim 9500] root visits=9500, unique states=60856, generated=60855
  [sim 10000] root visits=10000, unique states=64080, generated=64079
  [sim 10500] root visits=10500, unique states=67413, generated=67412
  [sim 11000] root visits=11000, unique states=70614, generated=70613
  [sim 11500] root visits=11500, unique states=73643, generated=73642
  [sim 12000] root visits=12000, unique states=76836, generated=76835
  [sim 12500] root visits=12500, unique states=79750, generated=79749
  [sim 13000] root visits=13000, unique states=82738, generated=82737
  [sim 13500] root visits=13500, unique states=85775, generated=85774
  [sim 14000] root visits=14000, unique states=88770, generated=88769
  [sim 14500] root visits=14500, unique states=91826, generated=91825
  [sim 15000] root visits=15000, unique states=95022, generated=95021
  [sim 15500] root visits=15500, unique states=98446, generated=98445
  [sim 16000] root visits=16000, unique states=101623, generated=101622
  [sim 16500] root visits=16500, unique states=104791, generated=104790
  [sim 17000] root visits=17000, unique states=108078, generated=108077
  [sim 17500] root visits=17500, unique states=111156, generated=111155
  [sim 18000] root visits=18000, unique states=114132, generated=114131
  [sim 18500] root visits=18500, unique states=117158, generated=117157
  [sim 19000] root visits=19000, unique states=120168, generated=120167
  [sim 19500] root visits=19500, unique states=123114, generated=123113
  [sim 20000] root visits=20000, unique states=126021, generated=126020
  [sim 20500] root visits=20500, unique states=128731, generated=128730
  [sim 21000] root visits=21000, unique states=131204, generated=131203
  [sim 21500] root visits=21500, unique states=133892, generated=133891
  [sim 22000] root visits=22000, unique states=136540, generated=136539
  [sim 22500] root visits=22500, unique states=139123, generated=139122
  [sim 23000] root visits=23000, unique states=141856, generated=141855
  [sim 23500] root visits=23500, unique states=144441, generated=144440
  [sim 24000] root visits=24000, unique states=147130, generated=147129
  [sim 24500] root visits=24500, unique states=150132, generated=150131
  [sim 25000] root visits=25000, unique states=152837, generated=152836
  [sim 25500] root visits=25500, unique states=155651, generated=155650
  [sim 26000] root visits=26000, unique states=158489, generated=158488
[Final] Expanded: 158541, Generated: 158541
[search done] simulations=26011, unique states generated=158541
Failed to find a solution!
