Torch: 2.12.0+cu130
Using CPU.
[Bellman] lambda=0 -> baseline (no widening signal)
[Value] SELF-CONSISTENT: leaf value = QR-DQN max_a mean Z(s,a) (SAC critics bypassed; prior still SAC policy)
[Add] OPTION8 add_beta=0.1 src=binc cap=2.0 (ADDITIVE bonus, NOT gated by P(a); prior untouched)
/u/ibrahim.eisawy/Neural-Guided-Search/venv/lib/python3.10/site-packages/pymimir_rgnn/model.py:162: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at /pytorch/aten/src/ATen/native/TensorAdvancedIndexing.cpp:1514.)
  exps_max.index_reduce_(0, output_indices, output_messages, reduce="amax", include_self=False)
  [sim 500] root visits=500, unique states=16, generated=15, iqn_calls=22
  [sim 1000] root visits=1000, unique states=19, generated=18, iqn_calls=26
  [sim 1500] root visits=1500, unique states=19, generated=18, iqn_calls=26
  [sim 2000] root visits=2000, unique states=19, generated=18, iqn_calls=26
  [sim 2500] root visits=2500, unique states=20, generated=19, iqn_calls=29
  [sim 3000] root visits=3000, unique states=20, generated=19, iqn_calls=29
  [sim 3500] root visits=3500, unique states=20, generated=19, iqn_calls=29
  [sim 4000] root visits=4000, unique states=23, generated=22, iqn_calls=39
  [sim 4500] root visits=4500, unique states=23, generated=22, iqn_calls=42
  [sim 5000] root visits=5000, unique states=23, generated=22, iqn_calls=42
  [sim 5500] root visits=5500, unique states=23, generated=22, iqn_calls=42
  [sim 6000] root visits=6000, unique states=23, generated=22, iqn_calls=42
  [sim 6500] root visits=6500, unique states=26, generated=25, iqn_calls=51
  [sim 7000] root visits=7000, unique states=26, generated=25, iqn_calls=51
  [sim 7500] root visits=7500, unique states=26, generated=25, iqn_calls=51
  [sim 8000] root visits=8000, unique states=26, generated=25, iqn_calls=51
  [sim 8500] root visits=8500, unique states=26, generated=25, iqn_calls=51
  [sim 9000] root visits=9000, unique states=26, generated=25, iqn_calls=51
  [sim 9500] root visits=9500, unique states=26, generated=25, iqn_calls=51
  [sim 10000] root visits=10000, unique states=26, generated=25, iqn_calls=51
  [sim 10500] root visits=10500, unique states=26, generated=25, iqn_calls=51
  [sim 11000] root visits=11000, unique states=26, generated=25, iqn_calls=51
  [sim 11500] root visits=11500, unique states=26, generated=25, iqn_calls=51
  [sim 12000] root visits=12000, unique states=26, generated=25, iqn_calls=51
  [sim 12500] root visits=12500, unique states=26, generated=25, iqn_calls=51
  [sim 13000] root visits=13000, unique states=26, generated=25, iqn_calls=51
  [sim 13500] root visits=13500, unique states=26, generated=25, iqn_calls=51
  [sim 14000] root visits=14000, unique states=26, generated=25, iqn_calls=51
  [sim 14500] root visits=14500, unique states=26, generated=25, iqn_calls=51
  [sim 15000] root visits=15000, unique states=26, generated=25, iqn_calls=51
  [sim 15500] root visits=15500, unique states=26, generated=25, iqn_calls=51
  [sim 16000] root visits=16000, unique states=26, generated=25, iqn_calls=51
  [sim 16500] root visits=16500, unique states=26, generated=25, iqn_calls=51
  [sim 17000] root visits=17000, unique states=26, generated=25, iqn_calls=51
  [sim 17500] root visits=17500, unique states=26, generated=25, iqn_calls=51
  [sim 18000] root visits=18000, unique states=26, generated=25, iqn_calls=51
  [sim 18500] root visits=18500, unique states=26, generated=25, iqn_calls=51
  [sim 19000] root visits=19000, unique states=26, generated=25, iqn_calls=51
  [sim 19500] root visits=19500, unique states=26, generated=25, iqn_calls=51
  [sim 20000] root visits=20000, unique states=26, generated=25, iqn_calls=51
  [sim 20500] root visits=20500, unique states=26, generated=25, iqn_calls=51
  [sim 21000] root visits=21000, unique states=26, generated=25, iqn_calls=51
  [sim 21500] root visits=21500, unique states=26, generated=25, iqn_calls=51
  [sim 22000] root visits=22000, unique states=26, generated=25, iqn_calls=51
  [sim 22500] root visits=22500, unique states=26, generated=25, iqn_calls=51
  [sim 23000] root visits=23000, unique states=26, generated=25, iqn_calls=51
  [sim 23500] root visits=23500, unique states=26, generated=25, iqn_calls=51
  [sim 24000] root visits=24000, unique states=26, generated=25, iqn_calls=51
  [sim 24500] root visits=24500, unique states=26, generated=25, iqn_calls=51
  [sim 25000] root visits=25000, unique states=26, generated=25, iqn_calls=51
  [sim 25500] root visits=25500, unique states=26, generated=25, iqn_calls=51
  [sim 26000] root visits=26000, unique states=26, generated=25, iqn_calls=51
  [sim 26500] root visits=26500, unique states=26, generated=25, iqn_calls=51
  [sim 27000] root visits=27000, unique states=26, generated=25, iqn_calls=51
  [sim 27500] root visits=27500, unique states=26, generated=25, iqn_calls=51
  [sim 28000] root visits=28000, unique states=26, generated=25, iqn_calls=51
  [sim 28500] root visits=28500, unique states=26, generated=25, iqn_calls=51
  [sim 29000] root visits=29000, unique states=26, generated=25, iqn_calls=51
  [sim 29500] root visits=29500, unique states=26, generated=25, iqn_calls=51
  [sim 30000] root visits=30000, unique states=26, generated=25, iqn_calls=51
[Final] Expanded: 25, Generated: 25
[Cost] IQN forward calls (Bellman signal): 51
[Widen] nodes widened: 0, mean w: 0.0000
[Add] child-edges given an additive bonus: 185996, mean (rel-1): 0.4004
[search done] simulations=30280, unique states generated=25
Failed to find a solution!
