Torch: 2.12.0+cu130
/u/ibrahim.eisawy/Neural-Guided-Search/venv/lib/python3.10/site-packages/pymimir_rgnn/model.py:162: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/Indexing.cu:1541.)
  exps_max.index_reduce_(0, output_indices, output_messages, reduce="amax", include_self=False)
Using GPU:  NVIDIA L40S
  [sim 500] root visits=500, unique states=1200, generated=1199
  [sim 1000] root visits=1000, unique states=2493, generated=2492
  [sim 1500] root visits=1500, unique states=3777, generated=3776
  [sim 2000] root visits=2000, unique states=4985, generated=4984
  [sim 2500] root visits=2500, unique states=6208, generated=6207
  [sim 3000] root visits=3000, unique states=7424, generated=7423
  [sim 3500] root visits=3500, unique states=8553, generated=8552
  [sim 4000] root visits=4000, unique states=9688, generated=9687
  [sim 4500] root visits=4500, unique states=10983, generated=10982
  [sim 5000] root visits=5000, unique states=12234, generated=12233
  [sim 5500] root visits=5500, unique states=13431, generated=13430
  [sim 6000] root visits=6000, unique states=14523, generated=14522
  [sim 6500] root visits=6500, unique states=15660, generated=15659
  [sim 7000] root visits=7000, unique states=16845, generated=16844
  [sim 7500] root visits=7500, unique states=17956, generated=17955
  [sim 8000] root visits=8000, unique states=19131, generated=19130
  [sim 8500] root visits=8500, unique states=20280, generated=20279
  [sim 9000] root visits=9000, unique states=21409, generated=21408
  [sim 9500] root visits=9500, unique states=22485, generated=22484
  [sim 10000] root visits=10000, unique states=23493, generated=23492
  [sim 10500] root visits=10500, unique states=24559, generated=24558
  [sim 11000] root visits=11000, unique states=25651, generated=25650
  [sim 11500] root visits=11500, unique states=26717, generated=26716
  [sim 12000] root visits=12000, unique states=27773, generated=27772
  [sim 12500] root visits=12500, unique states=28858, generated=28857
  [sim 13000] root visits=13000, unique states=30040, generated=30039
  [sim 13500] root visits=13500, unique states=31218, generated=31217
  [sim 14000] root visits=14000, unique states=32308, generated=32307
  [sim 14500] root visits=14500, unique states=33478, generated=33477
