/u/ibrahim.eisawy/Neural-Guided-Search/venv/lib/python3.10/site-packages/pymimir_rgnn/model.py:151: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/Indexing.cu:1541.)
  max_msg.index_reduce_(0, output_indices, output_messages, reduce='amax', include_self=True)
Torch: 2.12.0+cu130
Loading model... (models/grid_supervised.pth)
Using GPU:  NVIDIA L40S
[f=56.809] Expanded: 0, Generated: 0
[f=56.809] Expanded: 89, Generated: 453
[f=56.811] Expanded: 91, Generated: 464
[f=56.834] Expanded: 92, Generated: 470
[f=56.840] Expanded: 93, Generated: 476
[f=56.860] Expanded: 94, Generated: 482
[f=56.863] Expanded: 95, Generated: 488
[f=56.866] Expanded: 104, Generated: 540
[f=56.867] Expanded: 106, Generated: 551
[f=56.870] Expanded: 107, Generated: 556
[f=56.889] Expanded: 109, Generated: 566
[f=56.894] Expanded: 110, Generated: 570
[f=56.939] Expanded: 111, Generated: 574
[f=56.973] Expanded: 112, Generated: 579
[f=56.988] Expanded: 113, Generated: 584
[f=57.004] Expanded: 114, Generated: 589
[f=57.006] Expanded: 115, Generated: 594
[f=57.023] Expanded: 123, Generated: 640
[f=57.026] Expanded: 124, Generated: 644
[f=57.036] Expanded: 126, Generated: 656
[f=57.051] Expanded: 127, Generated: 662
[f=57.059] Expanded: 128, Generated: 666
[f=57.063] Expanded: 130, Generated: 677
[f=57.093] Expanded: 144, Generated: 753
[f=57.095] Expanded: 145, Generated: 756
[f=57.097] Expanded: 147, Generated: 764
[f=57.114] Expanded: 148, Generated: 768
[f=57.119] Expanded: 149, Generated: 773
[f=57.131] Expanded: 150, Generated: 776
[f=57.135] Expanded: 151, Generated: 781
[f=57.158] Expanded: 152, Generated: 787
[f=57.161] Expanded: 154, Generated: 799
[f=57.162] Expanded: 155, Generated: 804
[f=57.171] Expanded: 156, Generated: 809
[f=57.189] Expanded: 157, Generated: 813
[f=57.191] Expanded: 158, Generated: 818
[f=57.214] Expanded: 159, Generated: 823
[f=57.236] Expanded: 170, Generated: 875
[f=57.255] Expanded: 171, Generated: 880
[f=57.270] Expanded: 172, Generated: 886
[f=57.278] Expanded: 174, Generated: 898
[f=57.286] Expanded: 176, Generated: 909
[f=57.307] Expanded: 178, Generated: 921
[f=57.310] Expanded: 179, Generated: 925
[f=57.324] Expanded: 182, Generated: 941
[f=57.329] Expanded: 183, Generated: 946
[f=57.335] Expanded: 184, Generated: 951
[f=57.336] Expanded: 186, Generated: 958
[f=57.343] Expanded: 187, Generated: 960
[f=57.343] Expanded: 188, Generated: 965
[f=57.344] Expanded: 189, Generated: 970
[f=57.354] Expanded: 190, Generated: 976
[f=57.357] Expanded: 191, Generated: 979
[f=57.357] Expanded: 192, Generated: 985
[f=57.365] Expanded: 193, Generated: 991
[f=57.372] Expanded: 194, Generated: 997
[f=57.374] Expanded: 195, Generated: 1003
[f=57.379] Expanded: 196, Generated: 1007
[f=57.393] Expanded: 197, Generated: 1011
[f=57.401] Expanded: 198, Generated: 1015
[f=57.408] Expanded: 199, Generated: 1021
[f=57.411] Expanded: 200, Generated: 1026
[f=57.414] Expanded: 201, Generated: 1030
[f=57.423] Expanded: 202, Generated: 1035
[f=57.440] Expanded: 203, Generated: 1041
[f=57.442] Expanded: 205, Generated: 1050
