/u/ibrahim.eisawy/Neural-Guided-Search/venv/lib/python3.10/site-packages/pymimir_rgnn/model.py:162: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/Indexing.cu:1541.)
  exps_max.index_reduce_(0, output_indices, output_messages, reduce="amax", include_self=False)
Torch: 2.12.0+cu130
Loading model... (models/grid_dqn.pth)
Using GPU:  NVIDIA L40S
Starting Q* search...
[f=42.780] Expanded: 3, Generated: 2
[f=45.077] Expanded: 4, Generated: 3
[f=45.082] Expanded: 4, Generated: 4
[f=45.156] Expanded: 5, Generated: 5
[f=44.663] Expanded: 6, Generated: 7
[f=45.122] Expanded: 7, Generated: 8
[f=46.198] Expanded: 8, Generated: 9
[f=46.366] Expanded: 8, Generated: 10
[f=46.373] Expanded: 9, Generated: 11
[f=46.405] Expanded: 9, Generated: 12
[f=46.486] Expanded: 9, Generated: 13
[f=46.532] Expanded: 9, Generated: 14
[f=46.583] Expanded: 9, Generated: 15
[f=46.232] Expanded: 10, Generated: 17
[f=46.244] Expanded: 10, Generated: 18
[f=46.585] Expanded: 10, Generated: 19
[f=46.765] Expanded: 11, Generated: 20
[f=40.122] Expanded: 16, Generated: 25
[f=40.666] Expanded: 17, Generated: 26
[f=40.831] Expanded: 18, Generated: 27
[f=40.868] Expanded: 19, Generated: 28
[f=41.644] Expanded: 20, Generated: 29
[f=41.743] Expanded: 21, Generated: 30
[f=41.858] Expanded: 21, Generated: 31
[f=39.393] Expanded: 23, Generated: 33
[f=40.127] Expanded: 26, Generated: 36
[f=40.580] Expanded: 27, Generated: 37
[f=40.588] Expanded: 28, Generated: 38
[f=40.711] Expanded: 29, Generated: 39
[f=40.721] Expanded: 30, Generated: 40
[f=40.822] Expanded: 30, Generated: 41
[f=40.997] Expanded: 30, Generated: 42
[f=41.031] Expanded: 32, Generated: 44
[f=41.089] Expanded: 33, Generated: 45
[f=41.205] Expanded: 34, Generated: 46
[f=39.610] Expanded: 35, Generated: 48
[f=40.507] Expanded: 36, Generated: 49
[f=40.646] Expanded: 37, Generated: 50
[f=40.842] Expanded: 38, Generated: 51
[f=40.868] Expanded: 38, Generated: 52
[f=41.215] Expanded: 39, Generated: 53
[f=41.222] Expanded: 39, Generated: 54
[f=41.265] Expanded: 39, Generated: 55
[f=41.268] Expanded: 39, Generated: 56
[f=41.309] Expanded: 39, Generated: 57
[f=41.330] Expanded: 40, Generated: 58
[f=41.336] Expanded: 40, Generated: 59
[f=41.462] Expanded: 41, Generated: 60
[f=41.530] Expanded: 42, Generated: 61
[f=41.563] Expanded: 43, Generated: 62
[f=41.761] Expanded: 44, Generated: 63
[f=41.762] Expanded: 45, Generated: 64
[f=41.766] Expanded: 46, Generated: 65
[f=41.803] Expanded: 47, Generated: 66
[f=41.822] Expanded: 47, Generated: 67
[f=41.824] Expanded: 47, Generated: 68
[f=41.863] Expanded: 48, Generated: 69
[f=41.889] Expanded: 49, Generated: 70
[f=41.893] Expanded: 49, Generated: 71
[f=41.903] Expanded: 50, Generated: 72
[f=41.952] Expanded: 51, Generated: 73
[f=41.963] Expanded: 52, Generated: 74
[f=41.968] Expanded: 52, Generated: 75
[f=41.969] Expanded: 53, Generated: 76
[f=41.805] Expanded: 55, Generated: 78
[f=41.880] Expanded: 55, Generated: 79
[f=41.982] Expanded: 55, Generated: 80
[f=41.026] Expanded: 59, Generated: 84
[f=41.171] Expanded: 60, Generated: 85
[f=41.174] Expanded: 61, Generated: 86
[f=41.542] Expanded: 62, Generated: 87
[f=41.989] Expanded: 63, Generated: 88
[f=41.995] Expanded: 64, Generated: 89
[f=42.011] Expanded: 65, Generated: 90
[f=42.036] Expanded: 65, Generated: 91
[f=42.051] Expanded: 66, Generated: 92
[f=40.668] Expanded: 67, Generated: 94
[f=42.083] Expanded: 67, Generated: 95
[f=42.099] Expanded: 67, Generated: 96
[f=42.118] Expanded: 67, Generated: 97
[f=42.121] Expanded: 68, Generated: 98
[f=42.121] Expanded: 68, Generated: 99
[f=42.203] Expanded: 69, Generated: 100
[f=42.228] Expanded: 69, Generated: 101
[f=42.335] Expanded: 70, Generated: 102
[f=42.348] Expanded: 71, Generated: 103
[f=39.829] Expanded: 72, Generated: 105
[f=41.858] Expanded: 73, Generated: 106
[f=41.970] Expanded: 73, Generated: 107
[f=42.371] Expanded: 74, Generated: 108
[f=42.391] Expanded: 75, Generated: 109
[f=42.396] Expanded: 76, Generated: 110
[f=42.398] Expanded: 76, Generated: 111
[f=42.406] Expanded: 77, Generated: 112
[f=42.416] Expanded: 77, Generated: 113
[f=42.417] Expanded: 78, Generated: 114
[f=42.419] Expanded: 79, Generated: 115
[f=42.446] Expanded: 79, Generated: 116
[f=42.364] Expanded: 81, Generated: 118
[f=42.465] Expanded: 81, Generated: 119
[f=42.543] Expanded: 82, Generated: 120
[f=40.840] Expanded: 83, Generated: 122
[f=42.584] Expanded: 84, Generated: 123
[f=42.589] Expanded: 85, Generated: 124
[f=42.252] Expanded: 86, Generated: 126
[f=42.429] Expanded: 86, Generated: 127
[f=42.637] Expanded: 86, Generated: 128
[f=42.597] Expanded: 88, Generated: 130
[f=42.676] Expanded: 88, Generated: 131
[f=42.684] Expanded: 89, Generated: 132
[f=42.687] Expanded: 90, Generated: 133
[f=42.689] Expanded: 90, Generated: 134
[f=42.689] Expanded: 91, Generated: 135
[f=42.395] Expanded: 92, Generated: 137
[f=42.701] Expanded: 93, Generated: 138
[f=42.701] Expanded: 94, Generated: 139
[f=42.711] Expanded: 94, Generated: 140
[f=42.711] Expanded: 94, Generated: 141
[f=42.715] Expanded: 95, Generated: 142
[f=42.739] Expanded: 96, Generated: 143
[f=42.751] Expanded: 96, Generated: 144
[f=42.787] Expanded: 96, Generated: 145
[f=42.790] Expanded: 97, Generated: 146
[f=42.802] Expanded: 98, Generated: 147
[f=42.815] Expanded: 99, Generated: 148
[f=42.819] Expanded: 100, Generated: 149
[f=42.819] Expanded: 100, Generated: 150
[f=42.837] Expanded: 101, Generated: 151
[f=42.851] Expanded: 102, Generated: 152
