Torch: 2.12.0+cu130
/u/ibrahim.eisawy/Neural-Guided-Search/venv/lib/python3.10/site-packages/pymimir_rgnn/model.py:162: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/Indexing.cu:1541.)
  exps_max.index_reduce_(0, output_indices, output_messages, reduce="amax", include_self=False)
Using GPU:  NVIDIA L40S
  [sim 500] root visits=500, unique states=548, generated=547
  [sim 1000] root visits=1000, unique states=1014, generated=1013
  [sim 1500] root visits=1500, unique states=1471, generated=1470
  [sim 2000] root visits=2000, unique states=1934, generated=1933
  [sim 2500] root visits=2500, unique states=2364, generated=2363
  [sim 3000] root visits=3000, unique states=2827, generated=2826
  [sim 3500] root visits=3500, unique states=3277, generated=3276
  [sim 4000] root visits=4000, unique states=3735, generated=3734
  [sim 4500] root visits=4500, unique states=4188, generated=4187
  [sim 5000] root visits=5000, unique states=4604, generated=4603
  [sim 5500] root visits=5500, unique states=5056, generated=5055
  [sim 6000] root visits=6000, unique states=5488, generated=5487
  [sim 6500] root visits=6500, unique states=5927, generated=5926
  [sim 7000] root visits=7000, unique states=6359, generated=6358
  [sim 7500] root visits=7500, unique states=6780, generated=6779
  [sim 8000] root visits=8000, unique states=7212, generated=7211
  [sim 8500] root visits=8500, unique states=7644, generated=7643
  [sim 9000] root visits=9000, unique states=8078, generated=8077
  [sim 9500] root visits=9500, unique states=8526, generated=8525
  [sim 10000] root visits=10000, unique states=8975, generated=8974
  [sim 10500] root visits=10500, unique states=9392, generated=9391
  [sim 11000] root visits=11000, unique states=9812, generated=9811
  [sim 11500] root visits=11500, unique states=10262, generated=10261
  [sim 12000] root visits=12000, unique states=10713, generated=10712
  [sim 12500] root visits=12500, unique states=11155, generated=11154
  [sim 13000] root visits=13000, unique states=11560, generated=11559
  [sim 13500] root visits=13500, unique states=11961, generated=11960
  [sim 14000] root visits=14000, unique states=12370, generated=12369
  [sim 14500] root visits=14500, unique states=12804, generated=12803
  [sim 15000] root visits=15000, unique states=13230, generated=13229
  [sim 15500] root visits=15500, unique states=13653, generated=13652
  [sim 16000] root visits=16000, unique states=14083, generated=14082
  [sim 16500] root visits=16500, unique states=14514, generated=14513
  [sim 17000] root visits=17000, unique states=14966, generated=14965
  [sim 17500] root visits=17500, unique states=15383, generated=15382
  [sim 18000] root visits=18000, unique states=15809, generated=15808
[Final] Expanded: 16100, Generated: 16100
[search done] simulations=18359, unique states generated=16100
Failed to find a solution!
