Torch: 2.12.0+cu130
/u/ibrahim.eisawy/Neural-Guided-Search/venv/lib/python3.10/site-packages/pymimir_rgnn/model.py:162: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/Indexing.cu:1541.)
  exps_max.index_reduce_(0, output_indices, output_messages, reduce="amax", include_self=False)
Using GPU:  NVIDIA L40S
  [sim 500] root visits=500, unique states=1431, generated=1430
  [sim 1000] root visits=1000, unique states=2872, generated=2871
  [sim 1500] root visits=1500, unique states=4231, generated=4230
  [sim 2000] root visits=2000, unique states=5628, generated=5627
  [sim 2500] root visits=2500, unique states=7058, generated=7057
  [sim 3000] root visits=3000, unique states=8469, generated=8468
  [sim 3500] root visits=3500, unique states=9937, generated=9936
  [sim 4000] root visits=4000, unique states=11338, generated=11337
  [sim 4500] root visits=4500, unique states=12670, generated=12669
  [sim 5000] root visits=5000, unique states=13970, generated=13969
  [sim 5500] root visits=5500, unique states=15390, generated=15389
  [sim 6000] root visits=6000, unique states=16841, generated=16840
  [sim 6500] root visits=6500, unique states=18250, generated=18249
  [sim 7000] root visits=7000, unique states=19491, generated=19490
  [sim 7500] root visits=7500, unique states=20828, generated=20827
  [sim 8000] root visits=8000, unique states=22205, generated=22204
  [sim 8500] root visits=8500, unique states=23657, generated=23656
  [sim 9000] root visits=9000, unique states=25094, generated=25093
  [sim 9500] root visits=9500, unique states=26511, generated=26510
  [sim 10000] root visits=10000, unique states=27970, generated=27969
  [sim 10500] root visits=10500, unique states=29367, generated=29366
  [sim 11000] root visits=11000, unique states=30831, generated=30830
  [sim 11500] root visits=11500, unique states=32281, generated=32280
  [sim 12000] root visits=12000, unique states=33663, generated=33662
  [sim 12500] root visits=12500, unique states=35109, generated=35108
  [sim 13000] root visits=13000, unique states=36504, generated=36503
  [sim 13500] root visits=13500, unique states=37855, generated=37854
  [sim 14000] root visits=14000, unique states=39264, generated=39263
  [sim 14500] root visits=14500, unique states=40732, generated=40731
  [sim 15000] root visits=15000, unique states=42161, generated=42160
  [sim 15500] root visits=15500, unique states=43586, generated=43585
  [sim 16000] root visits=16000, unique states=45074, generated=45073
  [sim 16500] root visits=16500, unique states=46596, generated=46595
  [sim 17000] root visits=17000, unique states=48043, generated=48042
  [sim 17500] root visits=17500, unique states=49530, generated=49529
  [sim 18000] root visits=18000, unique states=51009, generated=51008
  [sim 18500] root visits=18500, unique states=52479, generated=52478
  [sim 19000] root visits=19000, unique states=53929, generated=53928
  [sim 19500] root visits=19500, unique states=55403, generated=55402
  [sim 20000] root visits=20000, unique states=56841, generated=56840
  [sim 20500] root visits=20500, unique states=58343, generated=58342
  [sim 21000] root visits=21000, unique states=59796, generated=59795
  [sim 21500] root visits=21500, unique states=61244, generated=61243
  [sim 22000] root visits=22000, unique states=62707, generated=62706
  [sim 22500] root visits=22500, unique states=64168, generated=64167
  [sim 23000] root visits=23000, unique states=65640, generated=65639
[Final] Expanded: 67106, Generated: 67106
[search done] simulations=23491, unique states generated=67106
Failed to find a solution!
