/u/ibrahim.eisawy/Neural-Guided-Search/venv/lib/python3.10/site-packages/pymimir_rgnn/model.py:162: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/Indexing.cu:1541.)
  exps_max.index_reduce_(0, output_indices, output_messages, reduce="amax", include_self=False)
Torch: 2.12.0+cu130
Loading model... (models/grid_dqn.pth)
Using GPU:  NVIDIA L40S
Starting Q* search...
[f=49.782] Expanded: 2, Generated: 1
[f=50.308] Expanded: 3, Generated: 2
[f=50.374] Expanded: 4, Generated: 3
[f=38.956] Expanded: 8, Generated: 7
[f=39.156] Expanded: 9, Generated: 8
[f=39.229] Expanded: 10, Generated: 9
[f=39.455] Expanded: 11, Generated: 10
[f=39.603] Expanded: 12, Generated: 11
[f=40.015] Expanded: 13, Generated: 12
[f=40.164] Expanded: 14, Generated: 13
[f=40.278] Expanded: 14, Generated: 14
[f=40.354] Expanded: 15, Generated: 15
[f=40.368] Expanded: 15, Generated: 16
[f=40.371] Expanded: 16, Generated: 17
[f=40.642] Expanded: 17, Generated: 18
[f=40.664] Expanded: 18, Generated: 19
[f=40.676] Expanded: 18, Generated: 20
[f=40.726] Expanded: 18, Generated: 21
[f=40.775] Expanded: 18, Generated: 22
[f=40.813] Expanded: 19, Generated: 23
[f=40.819] Expanded: 19, Generated: 24
[f=40.925] Expanded: 20, Generated: 25
[f=40.927] Expanded: 20, Generated: 26
[f=40.935] Expanded: 20, Generated: 27
[f=41.027] Expanded: 21, Generated: 28
[f=41.034] Expanded: 22, Generated: 29
[f=41.054] Expanded: 22, Generated: 30
[f=41.132] Expanded: 22, Generated: 31
[f=41.163] Expanded: 23, Generated: 32
[f=41.165] Expanded: 23, Generated: 33
[f=41.187] Expanded: 23, Generated: 34
[f=41.219] Expanded: 23, Generated: 35
[f=41.411] Expanded: 23, Generated: 36
[f=41.449] Expanded: 24, Generated: 37
[f=41.452] Expanded: 25, Generated: 38
[f=41.459] Expanded: 25, Generated: 39
[f=41.485] Expanded: 26, Generated: 40
[f=41.533] Expanded: 27, Generated: 41
[f=41.561] Expanded: 28, Generated: 42
[f=41.566] Expanded: 29, Generated: 43
[f=41.567] Expanded: 29, Generated: 44
[f=41.657] Expanded: 30, Generated: 45
[f=41.298] Expanded: 31, Generated: 47
[f=41.762] Expanded: 31, Generated: 48
[f=41.877] Expanded: 31, Generated: 49
[f=41.911] Expanded: 31, Generated: 50
[f=41.915] Expanded: 32, Generated: 51
[f=41.916] Expanded: 32, Generated: 52
[f=41.935] Expanded: 33, Generated: 53
[f=41.938] Expanded: 33, Generated: 54
[f=41.943] Expanded: 34, Generated: 55
[f=41.946] Expanded: 35, Generated: 56
[f=40.903] Expanded: 37, Generated: 58
[f=41.855] Expanded: 39, Generated: 60
[f=41.985] Expanded: 39, Generated: 61
[f=41.993] Expanded: 40, Generated: 62
[f=41.998] Expanded: 40, Generated: 63
[f=40.932] Expanded: 41, Generated: 65
[f=40.948] Expanded: 41, Generated: 66
[f=41.681] Expanded: 43, Generated: 68
[f=42.053] Expanded: 43, Generated: 69
[f=42.071] Expanded: 43, Generated: 70
[f=41.931] Expanded: 44, Generated: 72
[f=41.958] Expanded: 45, Generated: 73
[f=42.092] Expanded: 45, Generated: 74
[f=42.110] Expanded: 46, Generated: 75
[f=42.123] Expanded: 47, Generated: 76
[f=42.132] Expanded: 48, Generated: 77
[f=42.167] Expanded: 49, Generated: 78
[f=42.171] Expanded: 49, Generated: 79
[f=42.175] Expanded: 49, Generated: 80
[f=42.210] Expanded: 49, Generated: 81
[f=42.228] Expanded: 49, Generated: 82
[f=41.348] Expanded: 52, Generated: 85
[f=41.573] Expanded: 53, Generated: 86
[f=42.039] Expanded: 54, Generated: 87
[f=42.317] Expanded: 54, Generated: 88
[f=41.997] Expanded: 55, Generated: 90
[f=41.974] Expanded: 56, Generated: 92
[f=42.059] Expanded: 57, Generated: 93
[f=42.323] Expanded: 58, Generated: 94
[f=42.378] Expanded: 59, Generated: 95
[f=42.386] Expanded: 60, Generated: 96
[f=42.146] Expanded: 61, Generated: 98
[f=42.160] Expanded: 61, Generated: 99
[f=42.399] Expanded: 62, Generated: 100
[f=42.414] Expanded: 63, Generated: 101
[f=42.448] Expanded: 64, Generated: 102
[f=42.456] Expanded: 64, Generated: 103
[f=42.457] Expanded: 65, Generated: 104
[f=42.480] Expanded: 66, Generated: 105
[f=42.488] Expanded: 67, Generated: 106
[f=42.498] Expanded: 68, Generated: 107
[f=42.499] Expanded: 68, Generated: 108
[f=42.502] Expanded: 69, Generated: 109
[f=41.809] Expanded: 70, Generated: 111
[f=42.045] Expanded: 71, Generated: 113
[f=42.443] Expanded: 72, Generated: 114
[f=42.484] Expanded: 73, Generated: 115
[f=42.537] Expanded: 74, Generated: 116
[f=42.556] Expanded: 75, Generated: 117
[f=42.533] Expanded: 77, Generated: 119
[f=42.561] Expanded: 78, Generated: 120
[f=42.582] Expanded: 79, Generated: 121
[f=42.584] Expanded: 79, Generated: 122
[f=39.247] Expanded: 82, Generated: 125
[f=39.473] Expanded: 83, Generated: 126
[f=39.504] Expanded: 84, Generated: 127
[f=39.651] Expanded: 85, Generated: 128
[f=39.684] Expanded: 86, Generated: 129
[f=40.445] Expanded: 87, Generated: 130
[f=40.507] Expanded: 88, Generated: 131
[f=40.880] Expanded: 89, Generated: 132
[f=41.139] Expanded: 90, Generated: 133
[f=41.218] Expanded: 91, Generated: 134
[f=40.192] Expanded: 93, Generated: 136
[f=40.311] Expanded: 94, Generated: 137
[f=40.369] Expanded: 95, Generated: 138
[f=40.493] Expanded: 96, Generated: 139
[f=40.549] Expanded: 97, Generated: 140
[f=41.563] Expanded: 98, Generated: 141
[f=41.584] Expanded: 99, Generated: 142
[f=41.602] Expanded: 99, Generated: 143
[f=40.322] Expanded: 101, Generated: 145
[f=40.334] Expanded: 102, Generated: 146
[f=40.526] Expanded: 102, Generated: 147
[f=40.565] Expanded: 102, Generated: 148
[f=41.511] Expanded: 104, Generated: 150
[f=41.780] Expanded: 105, Generated: 151
[f=41.781] Expanded: 105, Generated: 152
[f=41.936] Expanded: 106, Generated: 153
[f=41.415] Expanded: 107, Generated: 155
[f=39.924] Expanded: 110, Generated: 158
[f=40.301] Expanded: 111, Generated: 159
[f=39.875] Expanded: 113, Generated: 161
[f=40.047] Expanded: 114, Generated: 162
[f=40.392] Expanded: 114, Generated: 163
[f=40.422] Expanded: 114, Generated: 164
[f=39.545] Expanded: 115, Generated: 166
[f=40.568] Expanded: 115, Generated: 167
[f=40.851] Expanded: 115, Generated: 168
[f=40.965] Expanded: 115, Generated: 169
[f=40.995] Expanded: 116, Generated: 171
[f=41.577] Expanded: 116, Generated: 172
[f=41.426] Expanded: 118, Generated: 174
[f=41.193] Expanded: 119, Generated: 176
[f=41.660] Expanded: 119, Generated: 177
[f=41.863] Expanded: 120, Generated: 178
[f=41.866] Expanded: 120, Generated: 179
[f=42.012] Expanded: 121, Generated: 180
[f=41.340] Expanded: 123, Generated: 182
[f=41.352] Expanded: 124, Generated: 183
[f=41.415] Expanded: 124, Generated: 184
[f=41.460] Expanded: 124, Generated: 185
[f=42.057] Expanded: 124, Generated: 186
[f=42.076] Expanded: 124, Generated: 187
[f=42.090] Expanded: 124, Generated: 188
[f=42.144] Expanded: 125, Generated: 189
[f=42.166] Expanded: 125, Generated: 190
[f=42.203] Expanded: 125, Generated: 191
[f=42.210] Expanded: 126, Generated: 192
[f=42.234] Expanded: 127, Generated: 193
[f=41.189] Expanded: 129, Generated: 195
[f=41.228] Expanded: 130, Generated: 196
[f=41.341] Expanded: 130, Generated: 197
[f=41.694] Expanded: 130, Generated: 198
[f=42.316] Expanded: 131, Generated: 199
[f=42.340] Expanded: 131, Generated: 200
[f=41.383] Expanded: 132, Generated: 202
[f=42.359] Expanded: 133, Generated: 203
[f=42.429] Expanded: 133, Generated: 204
[f=42.431] Expanded: 134, Generated: 205
[f=42.437] Expanded: 135, Generated: 206
[f=42.455] Expanded: 136, Generated: 207
[f=42.475] Expanded: 136, Generated: 208
[f=41.773] Expanded: 138, Generated: 210
[f=42.524] Expanded: 139, Generated: 211
[f=42.526] Expanded: 139, Generated: 212
[f=42.554] Expanded: 140, Generated: 213
[f=42.559] Expanded: 141, Generated: 214
[f=42.561] Expanded: 141, Generated: 215
[f=42.567] Expanded: 142, Generated: 216
[f=42.574] Expanded: 142, Generated: 217
[f=42.582] Expanded: 143, Generated: 218
[f=42.587] Expanded: 144, Generated: 219
[f=42.597] Expanded: 145, Generated: 220
[f=42.598] Expanded: 145, Generated: 221
[f=42.607] Expanded: 145, Generated: 222
[f=42.621] Expanded: 145, Generated: 223
[f=42.631] Expanded: 146, Generated: 224
[f=42.636] Expanded: 146, Generated: 225
[f=41.618] Expanded: 148, Generated: 227
[f=40.949] Expanded: 150, Generated: 229
[f=41.671] Expanded: 151, Generated: 230
[f=41.369] Expanded: 153, Generated: 232
[f=41.412] Expanded: 154, Generated: 233
[f=41.557] Expanded: 154, Generated: 234
[f=41.988] Expanded: 155, Generated: 235
[f=42.231] Expanded: 156, Generated: 237
[f=42.543] Expanded: 156, Generated: 238
[f=42.600] Expanded: 156, Generated: 239
[f=42.667] Expanded: 156, Generated: 240
[f=42.670] Expanded: 157, Generated: 241
[f=42.677] Expanded: 158, Generated: 242
[f=42.689] Expanded: 158, Generated: 243
[f=42.689] Expanded: 158, Generated: 244
[f=42.345] Expanded: 161, Generated: 247
[f=42.555] Expanded: 162, Generated: 248
[f=42.693] Expanded: 163, Generated: 249
[f=42.695] Expanded: 163, Generated: 250
[f=42.699] Expanded: 163, Generated: 251
[f=42.701] Expanded: 164, Generated: 252
[f=42.127] Expanded: 165, Generated: 254
[f=42.714] Expanded: 166, Generated: 255
[f=42.719] Expanded: 167, Generated: 256
[f=42.737] Expanded: 168, Generated: 257
[f=42.739] Expanded: 169, Generated: 258
[f=41.445] Expanded: 171, Generated: 260
[f=41.457] Expanded: 172, Generated: 261
[f=41.645] Expanded: 172, Generated: 262
[f=41.648] Expanded: 172, Generated: 263
[f=42.749] Expanded: 173, Generated: 264
[f=42.750] Expanded: 174, Generated: 265
[f=42.753] Expanded: 175, Generated: 266
[f=41.525] Expanded: 177, Generated: 268
[f=42.760] Expanded: 178, Generated: 269
[f=42.159] Expanded: 181, Generated: 272
[f=42.373] Expanded: 182, Generated: 273
[f=42.765] Expanded: 183, Generated: 274
[f=42.775] Expanded: 183, Generated: 275
[f=42.788] Expanded: 183, Generated: 276
[f=42.789] Expanded: 183, Generated: 277
[f=42.804] Expanded: 183, Generated: 278
[f=42.819] Expanded: 183, Generated: 279
[f=42.828] Expanded: 184, Generated: 280
[f=42.830] Expanded: 185, Generated: 281
[f=42.832] Expanded: 185, Generated: 282
[f=42.832] Expanded: 186, Generated: 283
[f=42.837] Expanded: 187, Generated: 284
[f=42.840] Expanded: 187, Generated: 285
[f=42.844] Expanded: 188, Generated: 286
[f=42.848] Expanded: 188, Generated: 287
[f=42.857] Expanded: 188, Generated: 288
[f=42.857] Expanded: 189, Generated: 289
[f=42.149] Expanded: 191, Generated: 291
[f=42.334] Expanded: 192, Generated: 292
[f=42.627] Expanded: 193, Generated: 293
[f=42.883] Expanded: 194, Generated: 294
[f=42.889] Expanded: 195, Generated: 295
[f=42.262] Expanded: 197, Generated: 297
[f=42.897] Expanded: 198, Generated: 298
[f=42.906] Expanded: 199, Generated: 299
[f=42.925] Expanded: 199, Generated: 300
[f=42.927] Expanded: 199, Generated: 301
[f=42.932] Expanded: 200, Generated: 302
[f=41.877] Expanded: 202, Generated: 304
[f=42.829] Expanded: 204, Generated: 306
[f=42.937] Expanded: 205, Generated: 307
[f=42.939] Expanded: 205, Generated: 308
[f=42.942] Expanded: 205, Generated: 309
[f=42.942] Expanded: 206, Generated: 310
[f=42.943] Expanded: 207, Generated: 311
[f=41.885] Expanded: 209, Generated: 313
[f=42.948] Expanded: 209, Generated: 314
[f=41.903] Expanded: 211, Generated: 316
[f=42.855] Expanded: 213, Generated: 318
[f=42.959] Expanded: 213, Generated: 319
[f=42.964] Expanded: 213, Generated: 320
[f=42.965] Expanded: 213, Generated: 321
[f=42.544] Expanded: 214, Generated: 323
[f=42.596] Expanded: 215, Generated: 324
[f=42.812] Expanded: 215, Generated: 325
[f=42.891] Expanded: 216, Generated: 326
[f=42.897] Expanded: 217, Generated: 327
[f=42.976] Expanded: 218, Generated: 328
[f=42.983] Expanded: 219, Generated: 329
[f=41.338] Expanded: 220, Generated: 331
[f=40.669] Expanded: 222, Generated: 333
[f=40.263] Expanded: 224, Generated: 335
[f=41.964] Expanded: 224, Generated: 336
[f=42.145] Expanded: 225, Generated: 337
[f=41.444] Expanded: 226, Generated: 339
[f=41.822] Expanded: 226, Generated: 340
[f=42.354] Expanded: 226, Generated: 341
[f=42.369] Expanded: 227, Generated: 342
[f=41.991] Expanded: 228, Generated: 344
[f=42.862] Expanded: 229, Generated: 345
[f=42.123] Expanded: 231, Generated: 347
[f=42.150] Expanded: 232, Generated: 348
[f=42.296] Expanded: 233, Generated: 349
[f=42.924] Expanded: 233, Generated: 350
[f=42.182] Expanded: 234, Generated: 352
[f=42.965] Expanded: 234, Generated: 353
[f=42.989] Expanded: 235, Generated: 354
[f=42.990] Expanded: 236, Generated: 355
[f=42.991] Expanded: 236, Generated: 356
[f=42.994] Expanded: 236, Generated: 357
[f=42.996] Expanded: 236, Generated: 358
[f=42.997] Expanded: 236, Generated: 359
[f=42.997] Expanded: 237, Generated: 360
[f=42.999] Expanded: 237, Generated: 361
[f=43.007] Expanded: 238, Generated: 362
[f=42.326] Expanded: 240, Generated: 364
[f=42.338] Expanded: 241, Generated: 365
[f=42.388] Expanded: 241, Generated: 366
[f=42.399] Expanded: 241, Generated: 367
[f=43.016] Expanded: 242, Generated: 368
[f=43.022] Expanded: 242, Generated: 369
[f=43.029] Expanded: 243, Generated: 370
[f=43.031] Expanded: 244, Generated: 371
[f=43.034] Expanded: 244, Generated: 372
[f=43.037] Expanded: 244, Generated: 373
[f=43.039] Expanded: 244, Generated: 374
[f=42.804] Expanded: 246, Generated: 376
[f=42.844] Expanded: 247, Generated: 377
[f=42.125] Expanded: 248, Generated: 379
[f=42.983] Expanded: 250, Generated: 381
[f=43.044] Expanded: 251, Generated: 382
[f=43.051] Expanded: 252, Generated: 383
[f=43.054] Expanded: 253, Generated: 384
[f=43.058] Expanded: 253, Generated: 385
[f=42.835] Expanded: 255, Generated: 387
[f=43.071] Expanded: 256, Generated: 388
[f=43.074] Expanded: 257, Generated: 389
[f=43.005] Expanded: 258, Generated: 391
[f=43.094] Expanded: 258, Generated: 392
[f=43.095] Expanded: 259, Generated: 393
[f=43.097] Expanded: 260, Generated: 394
[f=43.097] Expanded: 260, Generated: 395
[f=41.951] Expanded: 261, Generated: 397
[f=42.158] Expanded: 262, Generated: 399
[f=42.946] Expanded: 263, Generated: 400
[f=41.041] Expanded: 266, Generated: 403
[f=40.977] Expanded: 269, Generated: 406
[f=41.219] Expanded: 270, Generated: 407
[f=41.520] Expanded: 270, Generated: 408
[f=41.538] Expanded: 270, Generated: 409
[f=40.722] Expanded: 271, Generated: 411
[f=41.742] Expanded: 271, Generated: 412
[f=41.953] Expanded: 271, Generated: 413
[f=42.085] Expanded: 271, Generated: 414
[f=42.343] Expanded: 272, Generated: 415
[f=42.151] Expanded: 273, Generated: 417
[f=42.752] Expanded: 273, Generated: 418
[f=42.772] Expanded: 275, Generated: 420
