/u/ibrahim.eisawy/Neural-Guided-Search/venv/lib/python3.10/site-packages/pymimir_rgnn/model.py:162: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/Indexing.cu:1541.)
  exps_max.index_reduce_(0, output_indices, output_messages, reduce="amax", include_self=False)
Torch: 2.12.0+cu130
Loading model... (models/grid_dqn.pth)
Using GPU:  NVIDIA L40S
heuristic_weight = 2.0
Starting Q* search...
[f=63.308] Expanded: 4, Generated: 3
[f=64.904] Expanded: 5, Generated: 4
[f=60.532] Expanded: 8, Generated: 7
[f=64.307] Expanded: 9, Generated: 8
[f=64.493] Expanded: 10, Generated: 9
[f=64.581] Expanded: 11, Generated: 10
[f=64.597] Expanded: 12, Generated: 11
[f=58.678] Expanded: 16, Generated: 15
[f=58.714] Expanded: 17, Generated: 16
[f=59.397] Expanded: 17, Generated: 17
[f=53.986] Expanded: 19, Generated: 19
[f=50.654] Expanded: 21, Generated: 21
[f=51.988] Expanded: 22, Generated: 22
[f=52.504] Expanded: 23, Generated: 23
[f=54.541] Expanded: 23, Generated: 24
[f=54.834] Expanded: 23, Generated: 25
[f=55.140] Expanded: 24, Generated: 26
[f=44.488] Expanded: 29, Generated: 31
[f=35.791] Expanded: 36, Generated: 38
[f=36.822] Expanded: 37, Generated: 40
[f=38.120] Expanded: 38, Generated: 41
[f=38.140] Expanded: 38, Generated: 42
[f=38.150] Expanded: 38, Generated: 43
[f=38.499] Expanded: 39, Generated: 44
[f=38.932] Expanded: 40, Generated: 45
[f=39.170] Expanded: 40, Generated: 46
[f=39.241] Expanded: 41, Generated: 47
[f=39.298] Expanded: 41, Generated: 48
[f=39.400] Expanded: 41, Generated: 49
[f=39.472] Expanded: 41, Generated: 50
[f=39.526] Expanded: 41, Generated: 51
[f=38.340] Expanded: 42, Generated: 53
[f=39.815] Expanded: 43, Generated: 54
[f=39.914] Expanded: 44, Generated: 55
[f=39.058] Expanded: 45, Generated: 57
[f=40.200] Expanded: 45, Generated: 58
[f=35.901] Expanded: 50, Generated: 63
[f=36.300] Expanded: 51, Generated: 64
[f=35.985] Expanded: 52, Generated: 66
[f=36.959] Expanded: 55, Generated: 69
[f=37.666] Expanded: 55, Generated: 70
[f=36.830] Expanded: 56, Generated: 72
[f=38.488] Expanded: 57, Generated: 74
[f=38.933] Expanded: 57, Generated: 75
[f=38.988] Expanded: 57, Generated: 76
[f=39.133] Expanded: 57, Generated: 77
[f=39.156] Expanded: 57, Generated: 78
[f=37.013] Expanded: 60, Generated: 81
[f=37.064] Expanded: 61, Generated: 82
[f=37.892] Expanded: 62, Generated: 83
[f=37.899] Expanded: 63, Generated: 84
[f=38.011] Expanded: 66, Generated: 87
[f=38.318] Expanded: 67, Generated: 88
[f=38.916] Expanded: 67, Generated: 89
[f=38.627] Expanded: 68, Generated: 91
[f=39.232] Expanded: 68, Generated: 92
[f=36.909] Expanded: 72, Generated: 96
[f=37.831] Expanded: 73, Generated: 97
[f=37.855] Expanded: 74, Generated: 98
[f=37.982] Expanded: 76, Generated: 100
[f=38.007] Expanded: 77, Generated: 101
[f=38.299] Expanded: 78, Generated: 102
[f=38.834] Expanded: 78, Generated: 103
[f=38.445] Expanded: 79, Generated: 105
[f=39.229] Expanded: 79, Generated: 106
[f=37.992] Expanded: 80, Generated: 108
[f=39.268] Expanded: 80, Generated: 109
[f=38.010] Expanded: 81, Generated: 111
[f=39.380] Expanded: 81, Generated: 112
[f=39.380] Expanded: 81, Generated: 113
[f=39.395] Expanded: 81, Generated: 114
[f=39.434] Expanded: 81, Generated: 115
[f=39.647] Expanded: 81, Generated: 116
[f=39.676] Expanded: 82, Generated: 117
[f=39.801] Expanded: 82, Generated: 118
[f=39.803] Expanded: 82, Generated: 119
[f=39.804] Expanded: 82, Generated: 120
[f=39.885] Expanded: 82, Generated: 121
[f=39.008] Expanded: 83, Generated: 123
[f=39.683] Expanded: 84, Generated: 124
[f=39.908] Expanded: 85, Generated: 125
[f=38.982] Expanded: 86, Generated: 127
[f=39.632] Expanded: 87, Generated: 128
[f=39.915] Expanded: 88, Generated: 129
[f=38.999] Expanded: 89, Generated: 131
[f=39.680] Expanded: 90, Generated: 132
[f=39.921] Expanded: 91, Generated: 133
[f=39.946] Expanded: 91, Generated: 134
[f=39.956] Expanded: 91, Generated: 135
[f=39.513] Expanded: 92, Generated: 137
[f=39.080] Expanded: 93, Generated: 139
[f=39.535] Expanded: 94, Generated: 141
[f=39.096] Expanded: 95, Generated: 143
[f=39.114] Expanded: 96, Generated: 145
[f=39.047] Expanded: 97, Generated: 147
[f=39.796] Expanded: 98, Generated: 148
[f=39.947] Expanded: 99, Generated: 149
[f=39.021] Expanded: 100, Generated: 151
[f=39.738] Expanded: 101, Generated: 152
[f=39.952] Expanded: 102, Generated: 153
[f=39.038] Expanded: 103, Generated: 155
[f=39.798] Expanded: 104, Generated: 156
[f=39.960] Expanded: 105, Generated: 157
[f=40.155] Expanded: 106, Generated: 158
[f=39.921] Expanded: 108, Generated: 160
[f=40.221] Expanded: 109, Generated: 161
[f=39.913] Expanded: 111, Generated: 163
[f=39.937] Expanded: 113, Generated: 165
[f=38.906] Expanded: 115, Generated: 168
[f=40.307] Expanded: 115, Generated: 169
[f=40.317] Expanded: 116, Generated: 170
[f=40.339] Expanded: 117, Generated: 171
[f=40.347] Expanded: 118, Generated: 172
[f=40.356] Expanded: 119, Generated: 173
[f=40.363] Expanded: 120, Generated: 174
[f=40.366] Expanded: 121, Generated: 175
[f=40.398] Expanded: 122, Generated: 176
[f=40.399] Expanded: 123, Generated: 177
[f=40.400] Expanded: 124, Generated: 178
[f=40.351] Expanded: 125, Generated: 180
[f=40.366] Expanded: 125, Generated: 181
[f=40.420] Expanded: 126, Generated: 182
[f=40.421] Expanded: 127, Generated: 183
[f=40.421] Expanded: 128, Generated: 184
[f=40.423] Expanded: 129, Generated: 185
[f=40.487] Expanded: 129, Generated: 186
[f=40.562] Expanded: 129, Generated: 187
[f=40.574] Expanded: 129, Generated: 188
[f=40.606] Expanded: 130, Generated: 189
[f=40.613] Expanded: 131, Generated: 190
[f=40.660] Expanded: 131, Generated: 191
[f=40.711] Expanded: 131, Generated: 192
[f=40.751] Expanded: 131, Generated: 193
[f=40.754] Expanded: 131, Generated: 194
[f=40.762] Expanded: 131, Generated: 195
[f=40.770] Expanded: 132, Generated: 196
[f=40.771] Expanded: 133, Generated: 197
[f=40.778] Expanded: 133, Generated: 198
[f=40.791] Expanded: 134, Generated: 199
[f=39.463] Expanded: 138, Generated: 203
[f=39.660] Expanded: 138, Generated: 204
[Final] Expanded: 138, Generated: 204
Found a solution of length 37!
   1: (move f0-6f f0-5f)
   2: (move f0-5f f0-4f)
   3: (move f0-4f f0-3f)
   4: (pickup f0-3f key0-0)
   5: (move f0-3f f0-2f)
   6: (move f0-2f f1-2f)
   7: (move f1-2f f2-2f)
   8: (move f2-2f f2-1f)
   9: (putdown f2-1f key0-0)
  10: (move f2-1f f2-2f)
  11: (move f2-2f f2-3f)
  12: (move f2-3f f2-4f)
  13: (pickup f2-4f key0-1)
  14: (unlock f2-4f f1-4f key0-1 shape0)
  15: (move f2-4f f1-4f)
  16: (move f1-4f f0-4f)
  17: (putdown f0-4f key0-1)
  18: (move f0-4f f1-4f)
  19: (pickup f1-4f key0-2)
  20: (move f1-4f f0-4f)
  21: (move f0-4f f0-5f)
  22: (putdown f0-5f key0-2)
  23: (move f0-5f f0-4f)
  24: (move f0-4f f1-4f)
  25: (move f1-4f f2-4f)
  26: (move f2-4f f2-3f)
  27: (move f2-3f f3-3f)
  28: (move f3-3f f3-2f)
  29: (move f3-2f f4-2f)
  30: (pickup f4-2f key2-0)
  31: (move f4-2f f4-3f)
  32: (move f4-3f f4-4f)
  33: (move f4-4f f4-5f)
  34: (move f4-5f f4-6f)
  35: (move f4-6f f3-6f)
  36: (move f3-6f f2-6f)
  37: (putdown f2-6f key2-0)
