/u/ibrahim.eisawy/Neural-Guided-Search/venv/lib/python3.10/site-packages/pymimir_rgnn/model.py:162: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/Indexing.cu:1541.)
  exps_max.index_reduce_(0, output_indices, output_messages, reduce="amax", include_self=False)
Torch: 2.12.0+cu130
Loading model... (models/grid_dqn.pth)
Using GPU:  NVIDIA L40S
heuristic_weight = 8.0
Starting Q* search...
[f=490.908] Expanded: 11, Generated: 10
[f=491.800] Expanded: 12, Generated: 11
[f=498.669] Expanded: 12, Generated: 12
[f=496.815] Expanded: 13, Generated: 14
[f=499.440] Expanded: 15, Generated: 16
[f=473.851] Expanded: 18, Generated: 19
[f=470.463] Expanded: 20, Generated: 21
[f=449.068] Expanded: 24, Generated: 25
[f=449.679] Expanded: 26, Generated: 27
[f=452.126] Expanded: 27, Generated: 28
[f=451.015] Expanded: 28, Generated: 30
[f=452.206] Expanded: 29, Generated: 31
[f=452.766] Expanded: 29, Generated: 32
[f=453.190] Expanded: 29, Generated: 33
[f=453.215] Expanded: 30, Generated: 34
[f=453.626] Expanded: 30, Generated: 35
[f=454.158] Expanded: 30, Generated: 36
[f=455.449] Expanded: 30, Generated: 37
[f=455.947] Expanded: 30, Generated: 38
[f=456.249] Expanded: 31, Generated: 39
[f=457.617] Expanded: 32, Generated: 40
[f=458.007] Expanded: 32, Generated: 41
[f=452.662] Expanded: 34, Generated: 43
[f=456.533] Expanded: 34, Generated: 44
[f=456.569] Expanded: 34, Generated: 45
[f=458.269] Expanded: 34, Generated: 46
[f=458.842] Expanded: 34, Generated: 47
[f=453.449] Expanded: 35, Generated: 49
[f=453.947] Expanded: 35, Generated: 50
[f=454.249] Expanded: 36, Generated: 51
[f=456.007] Expanded: 36, Generated: 52
[f=450.662] Expanded: 38, Generated: 54
[f=454.533] Expanded: 38, Generated: 55
[f=454.569] Expanded: 38, Generated: 56
[f=454.807] Expanded: 39, Generated: 58
[f=458.530] Expanded: 40, Generated: 59
[f=458.675] Expanded: 42, Generated: 61
[f=457.701] Expanded: 44, Generated: 63
[f=457.726] Expanded: 44, Generated: 64
[f=458.602] Expanded: 45, Generated: 65
[f=458.874] Expanded: 45, Generated: 66
[f=458.998] Expanded: 46, Generated: 67
[f=448.438] Expanded: 49, Generated: 70
[f=451.469] Expanded: 50, Generated: 71
[f=454.582] Expanded: 51, Generated: 73
[f=455.059] Expanded: 51, Generated: 74
[f=455.213] Expanded: 51, Generated: 75
[f=452.265] Expanded: 54, Generated: 78
[f=454.775] Expanded: 55, Generated: 79
[f=450.460] Expanded: 56, Generated: 81
[f=456.089] Expanded: 57, Generated: 82
[f=457.017] Expanded: 57, Generated: 83
[f=457.160] Expanded: 58, Generated: 84
[f=457.364] Expanded: 59, Generated: 85
[f=458.457] Expanded: 60, Generated: 86
[f=454.208] Expanded: 61, Generated: 88
[f=459.273] Expanded: 62, Generated: 89
[f=459.364] Expanded: 62, Generated: 90
[f=448.662] Expanded: 64, Generated: 92
[f=452.533] Expanded: 64, Generated: 93
[f=452.569] Expanded: 64, Generated: 94
[f=452.807] Expanded: 65, Generated: 96
[f=456.530] Expanded: 66, Generated: 97
[f=456.675] Expanded: 68, Generated: 99
[f=455.701] Expanded: 70, Generated: 101
[f=455.726] Expanded: 70, Generated: 102
[f=456.602] Expanded: 71, Generated: 103
[f=456.874] Expanded: 71, Generated: 104
[f=457.395] Expanded: 71, Generated: 105
[f=457.574] Expanded: 71, Generated: 106
[f=457.792] Expanded: 71, Generated: 107
[f=458.371] Expanded: 71, Generated: 108
[f=459.058] Expanded: 71, Generated: 109
[f=459.462] Expanded: 71, Generated: 110
[f=455.586] Expanded: 73, Generated: 112
[f=459.735] Expanded: 74, Generated: 113
[f=457.250] Expanded: 75, Generated: 115
[f=460.086] Expanded: 76, Generated: 116
[f=448.097] Expanded: 80, Generated: 120
[f=317.775] Expanded: 88, Generated: 128
[f=330.524] Expanded: 88, Generated: 129
[f=321.495] Expanded: 89, Generated: 131
[f=323.118] Expanded: 90, Generated: 132
[f=325.756] Expanded: 91, Generated: 133
[f=331.515] Expanded: 91, Generated: 134
[f=254.493] Expanded: 98, Generated: 141
[f=209.349] Expanded: 101, Generated: 144
[f=215.200] Expanded: 102, Generated: 145
[f=219.778] Expanded: 103, Generated: 147
[f=203.494] Expanded: 104, Generated: 149
[f=202.084] Expanded: 105, Generated: 151
[f=216.031] Expanded: 106, Generated: 153
[f=220.597] Expanded: 107, Generated: 155
[f=221.269] Expanded: 107, Generated: 156
[f=220.775] Expanded: 108, Generated: 158
