Problem,Solved,Solution Length,Simulations,Expanded,Generated
000_p-1-2-2-2-2-29,True,3,4,0,20
001_p-1-2-2-2-2-13,True,14,24,0,86
002_p-1-2-2-2-2-7,True,5,8,0,38
003_p-2-1-2-2-2-19,True,14,15,0,56
004_p-2-1-2-2-2-23,True,12,17,0,67
005_p-2-1-2-2-2-0,True,8,9,0,29
006_p-2-1-2-2-2-15,True,37,80,0,280
007_p-2-1-2-2-2-22,True,17,34,0,145
008_p-2-1-2-2-2-18,True,7,8,0,33
009_p-2-1-2-2-2-13,True,30,63,0,199
010_p-2-1-2-2-2-29,True,6,7,0,29
011_p-2-1-2-2-2-6,True,3,4,0,14
012_p-2-1-2-2-2-25,True,7,8,0,32
013_p-2-1-2-2-2-7,True,20,49,0,205
014_p-2-1-2-2-2-28,True,10,11,0,43
015_p-2-1-2-2-2-12,True,9,10,0,36
016_p-2-1-2-2-2-4,True,25,42,0,153
017_p-2-1-2-2-2-27,True,4,5,0,19
018_p-2-1-2-2-2-5,True,14,21,0,82
019_p-2-1-2-2-2-26,True,4,5,0,18
020_p-2-1-2-2-2-10,True,20,50,0,209
021_p-2-1-2-2-2-9,True,11,12,0,51
022_p-2-1-2-2-2-21,True,15,16,0,64
023_p-2-1-2-2-2-2,True,4,5,0,15
024_p-2-1-2-2-2-16,True,6,7,0,31
025_p-2-1-2-2-2-20,True,12,13,0,49
026_p-2-2-2-2-2-22,True,17,61,0,357
027_p-2-2-2-2-2-18,True,7,8,0,41
028_p-2-2-2-2-2-2,True,4,5,0,22
029_p-2-2-2-2-2-15,True,21,60,0,341
030_p-2-2-2-2-2-19,True,12,13,0,59
031_p-2-2-2-2-2-23,True,12,17,0,85
032_p-2-2-2-2-2-28,True,10,11,0,54
033_p-2-2-2-2-2-12,True,9,10,0,49
034_p-2-2-2-2-2-4,True,25,42,0,201
035_p-2-2-2-2-2-5,True,14,27,0,137
036_p-2-2-2-2-2-25,True,6,7,0,39
037_p-2-2-2-2-2-9,True,10,11,0,60
038_p-2-2-2-2-2-13,True,24,40,0,187
039_p-2-2-2-2-2-29,True,6,7,0,37
040_p-2-2-2-2-2-10,True,20,104,0,555
041_p-2-2-2-2-2-6,True,3,4,0,18
042_p-2-2-2-2-2-26,True,4,5,0,23
043_p-2-2-2-2-2-27,True,3,4,0,22
044_p-2-2-2-2-2-7,True,19,62,0,326
045_p-2-2-2-2-2-0,True,7,8,0,34
046_p-2-2-2-2-2-20,True,12,19,0,93
047_p-2-2-2-2-2-16,True,6,7,0,43
048_p-2-2-2-2-2-21,True,15,22,0,135

SUMMARY,49/49,11.9,22.1,0.0,100.4
Coverage,100.0%,,,,
